,date_time,gm_open,gm_close,johnson_open,johnson_close,jacobs_open,jacobs_close,albemarle_open,albemarle_close,disney_open,disney_close,att_open,att_close,aa_open,aa_close
85,2020-01-21,35.36,34.99,148.58,149.27,94.0,94.79,80.79,81.32,144.24,143.56,38.35,38.52,27.97,27.2
86,2020-01-22,35.13,34.91,146.7,148.25,94.72,94.85,81.18,81.38,144.45,144.01,38.68,39.04,27.51,27.32
87,2020-01-23,34.77,34.88,148.04,148.53,94.44,96.06,80.33,81.9,143.6,142.2,38.96,38.63,27.39,28.8
88,2020-01-24,34.9,34.31,148.58,148.32,96.07,97.0,82.0,81.18,141.4,140.08,38.6,38.5,28.85,27.64
89,2020-01-25,34.9,34.31,148.58,148.32,96.07,97.0,82.0,81.18,141.4,140.08,38.6,38.5,28.85,27.64
90,2020-01-26,34.9,34.31,148.58,148.32,96.07,97.0,82.0,81.18,141.4,140.08,38.6,38.5,28.85,27.64
91,2020-01-27,33.63,33.41,147.52,148.75,95.51,95.28,78.63,78.94,135.86,135.9,38.02,38.25,26.57,26.11
92,2020-01-28,33.57,33.64,148.46,149.5,95.28,94.84,79.7,80.2,136.5,138.37,38.32,38.58,26.36,26.9
93,2020-01-29,33.8,33.6,149.45,150.54,95.22,94.78,80.83,80.73,138.6,136.06,38.5,37.05,26.88,26.8
94,2020-01-30,33.4,33.33,150.03,150.36,93.64,94.49,80.09,80.78,135.09,137.81,36.47,37.43,26.3,27.72
95,2020-01-31,33.25,33.39,149.75,148.87,93.92,92.53,79.8,80.28,138.4,138.31,37.32,37.62,27.5,26.84
96,2020-02-01,33.25,33.39,149.75,148.87,93.92,92.53,79.8,80.28,138.4,138.31,37.32,37.62,27.5,26.84
97,2020-02-02,33.25,33.39,149.75,148.87,93.92,92.53,79.8,80.28,138.4,138.31,37.32,37.62,27.5,26.84
98,2020-02-03,33.56,33.72,149.42,150.17,92.71,93.04,80.79,80.79,139.79,141.32,37.96,36.96,26.93,27.16
99,2020-02-04,34.35,34.37,151.49,151.6,94.32,95.46,82.5,90.43,145.49,144.73,37.08,37.63,27.68,28.43
100,2020-02-05,34.9,35.03,151.72,153.99,96.5,96.75,88.76,87.58,146.6,141.37,37.73,37.81,28.96,29.1
101,2020-02-06,35.05,34.33,154.25,153.53,96.76,96.02,87.57,86.95,141.92,142.7,37.86,38.44,29.26,28.3
102,2020-02-07,34.08,33.63,153.34,151.89,95.78,95.78,85.52,82.54,141.89,141.02,38.45,38.45,28.06,28.38
103,2020-02-08,34.08,33.63,153.34,151.89,95.78,95.78,85.52,82.54,141.89,141.02,38.45,38.45,28.06,28.38
104,2020-02-09,34.08,33.63,153.34,151.89,95.78,95.78,85.52,82.54,141.89,141.02,38.45,38.45,28.06,28.38
105,2020-02-10,33.99,34.25,151.68,151.86,95.41,97.02,83.11,83.25,141.03,142.59,38.42,38.34,28.19,28.79
106,2020-02-11,34.34,35.01,152.29,151.99,97.37,97.73,83.77,84.71,142.85,141.01,38.49,38.17,29.06,29.84
107,2020-02-12,35.33,35.49,151.87,151.09,98.13,99.26,87.02,86.83,141.34,141.85,38.19,38.04,30.0,30.47
108,2020-02-13,35.21,35.29,150.16,150.09,99.04,99.23,85.94,87.93,141.17,140.9,37.88,38.31,30.03,30.09
109,2020-02-14,35.3,34.76,150.56,150.13,99.5,100.66,88.54,89.64,141.1,139.54,38.28,38.25,30.01,29.2
110,2020-02-15,35.3,34.76,150.56,150.13,99.5,100.66,88.54,89.64,141.1,139.54,38.28,38.25,30.01,29.2
